Common Name,Name,First record,Last record,
Olive-backed Sunbird,Nectarinia jugularis microleuca,1819,2014,
Crimson Sunbird,Aethopyga siparaja siparaja,1819,2014,
Little Spiderhunter,Arachnothera longirostra longirostra,1819,2014,
Thick-billed Spiderhunter,Arachnothera crassirostris,1819,1920,
Yellow-eared Spiderhunter,Arachnothera chrysogenys chrysogenys,1819,2014,
Grey-breasted Spiderhunter,Arachnothera affinis modesta,1819,1949,
Eurasian Tree Sparrow,Passer montanus malaccensis,1819,2014,
Paddyfield Pipit,Anthus rufulus sinensis ,1819,2014,
Baya Weaver,Ploceus philippinus infortunatus ,1819,2014,
White-rumped Munia,Lonchura striata subsquamicollis,1883,2014,
Scaly-breasted Munia,Lonchura punctulata fretensis,1819,2014,
Black-headed Munia,Lonchura malacca sinensis,1819,2014,
White-headed Munia,Lonchura maja maja,1819,2014,
